[智利圣地亚哥东南部的室内空气污染]。	[Indoor air pollution in southeast Santiago, Chile].
腮腺良性肿瘤的腮腺切除术：&Sant Pau&Quot； 手术扩展分类。	Parotidectomies in benign parotid tumours: &quot;Sant Pau&quot; surgical extension classification.
[角膜缘缺乏综合征]。	[Limbal deficiency syndrome].
[隐静脉移植物扭结：血管造影图像]。	[Saphenous vein graft kinking: angiographic image].
[膀胱手术输血分析]。	[An analysis of transfusion in surgery on the bladder].
[人类免疫缺陷病毒(HIV)患者的恶性梅毒：病例报告及文献复习]。	[Malignant syphilis in patient with human immunodeficiency virus (HIV): case report and literature review].
[公共卫生教学的当前趋势]。	[Current trends in teaching public health].
肝脏巨大海绵状血管瘤。	Giant cavernous hemangiomas of the liver.
[阿米特林：慢性阻塞性肺疾病的外周呼吸兴奋剂]。	[Almitrine: a peripheral respiratory stimulant in chronic obstructive pulmonary disease].
[与帕金森病(PD)痴呆相关的遗传因素]。	[Genetic factors associated with dementia in Parkinson's disease (PD)].
[经皮超声引导下胰腺同种异体移植活检：一种安全的手术]。	[Percutaneous ultrasound-guided pancreas allograft biopsy: a secure procedure].
[深静脉血栓形成的门诊治疗：与历史住院患者的比较研究]。	[Outpatient treatment of deep vein thrombosis: comparative study with historical inpatients].
[墨西哥的婴儿喂养习惯和母乳喂养的恶化]。	[Infant feeding practices and deterioration of breastfeeding in Mexico].
[讣告：Adolfo ley Gracia(1908-1975)]。	[Obituary: Adolfo Ley Gracia (1908-1975)].
[ST段抬高、右束支传导阻滞和猝死：Brugada综合征]。	[ST segment elevation, right bundle branch block and sudden death: Brugada's syndrome].
[继发于脊髓镇痛和麻醉的细菌性脑膜炎]。	[Bacterial meningitis secondary to spinal analgesia and anaesthesia].
[胆囊结肠瘘：下消化道出血的罕见原因]。	[Cholecistocolic fistula: an uncommon cause of lower gastrointestinal bleeding].
[初级保健医师对卒中急性期血小板聚集抑制、高血糖和高血压治疗的知识]。	[Primary care physicians' knowledge about treatment of platelet aggregation inhibition, hyperglycemia and hypertension in the acute phase of stroke].
[循证决策与制药行业：重新定义科学辩论]。	[Evidence-based decision-making and the pharmaceutical industry: redefining the scientific debate].
[进行性骨化性纤维发育不良：附2例报告]。	[Progressive ossifying fibrodysplasia: report of two cases].
[吞噬作用缺陷的溶组织大肠杆菌克隆存在毒力缺陷]。	[Clones of E. histolytica deficient in phagocytosis present a deficiency in virulence].
[大学生结核病控制简史]。	[Brief history of tuberculosis control among university students].
[磷脂酰胆碱诱导白细胞介素-6的产生增加，并提高肺炎克雷伯菌所致新生儿脓毒症大鼠的存活率]。	[Phosphatidylcholine induces an increase in the production of interleukin-6 and improves survival of rats with neonatal sepsis caused by Klebsiella pneumoniae].
[智利献血者乙型肝炎病毒感染。前瞻性研究（1988-1990年)]。	[Infection by hepatitis B virus in blood donors in Chile. A prospective study (1988-1990)].
[儿科皮肌炎]。	[Dermatomyositis in pediatrics].
[腹部回声描记术。三、议案胆囊和胆道回声描记术]。	[Abdominal echography. III. Echography of the gallbladder and the biliary tract].
[1965-1975年间在阿根廷共和国图库曼检测到的浅表和深部真菌病]。	[Superficial and deep mycoses detected in Tucuman, Republic of Argentina, between the years 1965-1975].
[使用抗D（Rh）IgG或肌内多价人免疫球蛋白治疗慢性自身免疫性血小板减少性紫癜]。	[Use of anti-D (Rh) IgG or intramuscular polyvalent human immunoglobulin in the treatment of chronic autoimmune thrombocytopenic purpura].
[自杀未遂与自杀意图：差异特征研究]。	[Attempted suicide versus suicidal intention: a study of differential characteristics].
[癌症患者的心理支持]。	[Psychological support for cancer patients].
[牙科实践与教学]。	[The practice and teaching of dentistry].
[贝萨概念医院的药品柜]。	[The drug cabinet of the Hospital of the Conception of Baeza].
[胃肠外喂养]。	[Parenteral feeding].
[休克：定义的概念]。	[Shock: concepts for a definition].
[妊娠期急性心肌梗死。氯吡格雷治疗]。	[Acute myocardial infarction during pregnancy. Treatment with clopidogrel].
[永久性起搏器植入术在1级医院是否更有效？].	[Is the permanent pacemaker implant more efficient in level 1 hospital?].
[位于古巴卡马圭省三个地区的自然繁殖地中具有医学-兽医重要性的库蠓科]。	[Culicidae of medical-veterinary importance in natural breeding sites located in three areas of Camagüey province in Cuba].
[矢状窦旁脑膜瘤]。	[Parasagittal meningioma].
[PET-CAT在肿瘤学中的作用]。	[Usefulness of PET-CAT in oncology].
[以Miller Fisher综合征为表现的韦尼克脑病]。	[Miller Fisher syndrome as the presenting symptom of Wernicke's encephalopathy].
[桥本甲状腺炎患者继发于他汀类药物治疗的近端肌病]。	[Proximal myopathy secondary to statin treatment in a patient with Hashimoto thyroiditis].
[人工耳蜗植入术中诱发的镫骨反射阈值与儿科患者最高听力舒适度关系的研究]。	[Study of the relationship of stapedial reflex thresholds induced during cochlear implant surgery and the highest hearing comfort of paediatric patients].
[我们背景下255例急性胆管炎发作的回顾性介绍]。	[Retrospective presentation of 255 episodes of acute cholangitis in our context].
[慢性粒细胞白血病溶骨性病变。三例病例报告（作者易位)]。	[Osteolytic lesions in chronic myeloid leukemia. Report of three cases (author's transl)].
[儿童哮喘中叶综合征（附2例报告)]。	[Medium lobe syndrome in children with asthma (report of 2 cases)].
[为期12周的体育活动计划可增加唐氏综合征青少年的葡萄糖-6-磷酸脱氢酶活性]。	[A 12-week physical activity program increases glucose-6-phosphate-dehydrogenase activity in Down syndrome adolescents].
[硝普钠在高血压急症中的应用（作者译著)]。	[The use of sodium nitroprusside in hypertensive emergencies (author's transl)].
[兔热病患者的实验室诊断和血清学病程]。	[Laboratory diagnosis and serologic course in patients with tularemia].
[HIV阳性IVDA患者队列中与免疫缺陷程度和结核病皮肤试验相关的结核病风险]。	[Risk of tuberculosis in a cohort of HIV positive IVDA patients in relation to the degree of immunodeficiency and tuberculosis skin test].
[肾腺癌的临床方面]。	[Clinical aspects of renal adenocarcinoma].
[牙髓后根尖封闭和根尖周修复]。	[Post endodontic apical closure and periapical reparation].
[与急性胰腺炎相关的Ehlers-Danlos综合征]。	[Ehlers-Danlos syndrome associated with acute pancreatitis].
[家庭医生也是专科医生]。	[The family physician is also a specialized physician].
[晚期膀胱癌新化疗方案]。	[New chemotherapy regimens for advanced bladder cancer].
[与远端部位缺血相关的苔藓样糠疹]。	[Pityriasis lichenoides associated with ischemia of distal location].
[桥本病患者碘诱导的亚临床甲状腺功能亢进]。	[Iodine-induced subclinical hyperthyroidism in a patient with Hashimoto's disease].
[致残性慢性呼吸系统疾病和酒精中毒]。	[Disabling chronic respiratory disease and alcoholism].
[汞合金修复体渗漏。碳化钨钻头和金刚石钻头制备的影响]。	[Leakage in amalgam restorations. The influence of preparation with tungsten carbide burs and diamond burs].
[服用布洛芬和酮咯酸继发的复发性无菌性脑膜炎]。	[Recurrent aseptic meningitis secondary to taking ibuprofen and ketorolac].
[高危人群中颈动脉狭窄相关因素的特征]。	[Characterisation of factors associated with carotid stenosis in a population at high risk].
[安德森病。关于一个新病例]。	[Anderson's disease. Apropos of a new case].
[血管性溃疡的联合治疗。2008年Biatain一等奖。一例感染血管性溃疡患者的临床病例]。	[Combined therapy for a vascular ulcer. 2008 Biatain First Prize. A clinical case of a patient with an infected vascular ulcer].
[以胰腺腺癌为表现的上腔静脉综合征]。	[Superior vena cava syndrome as manifestation of adenocarcinoma of the pancreas].
[精索静脉曲张的内镜治疗]。	[Endoscopic treatment of varicocele].
